二级标签,健康度分类,网络来源,发布者,标题,内容,ocr内容,车型频次,链接,调性
产品报道,综合类,今日头条,优雅风声sNCb6L,优雅风声sNCb6L发布的小视频,优雅风声sNCb6L发布的小视频,丰田日产 No.2 迈巴赫奔驰凯迪拉克 No.3 No.4 LAND> -ROVER 路虎林肯捷豹 No.5 STUTTGART 兰博基尼保时捷 No.6 雷克萨斯讴歌长安 No.7 英菲尼迪沃尔沃奇瑞 INFINITI No.8 三菱科尔维特五菱宏光 No.9 柯尼塞格法拉利 apollo 布加迪测测你认识多少车标阿波罗世爵无敌了! No.10 居然全认识,,http://www.toutiao.com/item/7410124569756945727,中性
售后服务,视频类,抖音,陕西汽车24小时救援,#道路救援拖车 #应急救援 #一拖二清障车 #工程机械设备 #随时待命,#道路救援拖车 #应急救援 #一拖二清障车 #工程机械设备 #随时待命,综合力车有业 X70Plus送往修理厂帮忙给伙计救援一台捷途,,https://www.douyin.com/video/7410077677136203062,中性
品牌形象,视频类,抖音,潘大哥,,,人王球热飞技术奇寺瑞奇瑞汽车众鑫瑞店交车区,奇瑞汽车(1),https://www.douyin.com/note/7410077707960061193,正面
产品报道,综合类,百家号,极速车天下,9月8款新能源SUV即将上市，哪款最合你胃口？,进入“金九银十”这一传统的购车旺季后，各大车企纷纷推出重磅新车。据统计，今年9月将有8款新能源SUV有望上市，年末购车的选择将更加丰富。让我们来看看这些新车中是否有符合你需求的车型吧。1、乐道L60乐道L60是蔚来汽车旗下子品牌推出的首款车型，定位直接对标特斯拉Model Y。,,,http://baijiahao.baidu.com/s?id=1809082492048226577,正面
销量业绩,综合类,微头条,创业阿甘,科创早讯 2024-09-03 星期二 1、鸿蒙智行8月全系交付新车33699辆（e公司） 2、泸州老窖谈中秋销售展望：预计不会有太大变动 仍是存量竞争（财联社） 3、纳思达：奔图A3激光打印机有望在未来实现放量增长（e公司） 4、京蓝科技：首条铟生产线成功投产（e公司） 5、义翘神州：与,科创早讯 2024-09-03 星期二 1、鸿蒙智行8月全系交付新车33699辆 2、泸州老窖谈中秋销售展望：预计不会有太大变动 仍是存量竞争 3、纳思达：奔图A3激光打印机有望在未来实现放量增长 4、京蓝科技：首条铟生产线成功投产 5、义翘神州：与百奥几何战略合作 探索生成式AI赋能蛋白研发 6、南都电源：公司固态电池产品可用于无人机等场景 现可小批量交付 7、奇瑞集团8月销量超21万辆 同比增长23.7% 8、东风岚图8月交付新车6156辆 同比增长54% 9、港股今年最大IPO诞生？,,,http://www.toutiao.com/item/1809100378882112,正面
产品报道,视频类,西瓜视频,吾空310,#捷途汽车 #捷途1至8月销量超去年全年 #刷新捷途速度 #捷途到底有多硬 山海T2以绝对实力通过硬核爆破测试，稳居混动方盒子销量榜首！,,安全从不妥协近距离炸山海T2电池包绝对硬核爆破! 专业测试请勿模仿,"山海T2(1),捷途汽车(1)",http://www.ixigua.com/7410074392245308726/,中性
产品报道,综合类,今日头条,酱香猪蹄小龙虾,星纪元ES,这是我想要的电车。#星纪元es,星纪元|,星纪元 ES(1),http://www.toutiao.com/item/7410074257390079271,正面
品牌报道,视频类,抖音,CageLEE凯奇??,,,丰田日产 No.2 迈巴赫奔驰凯迪拉克 No.3 No.4 LAND> -ROVER 路虎林肯捷豹 No.5 STUTTGART 保时捷兰博基尼 No.6 雷克萨斯讴歌长安 No.7 奇瑞沃尔沃英菲尼迪 INFINITI No.8 科尔维特三菱五菱宏光柯尼塞格法拉利 No.9 apollo 布加迪居然全认识测测你认识多少车标世爵阿波罗无敌了! No.10,,https://www.douyin.com/video/7410074063227342118,中性
品牌报道,视频类,抖音,莫，莫,#提车大吉 #捷途汽车 #不负每一分热爱,#提车大吉 #捷途汽车 #不负每一分热爱,"JETOUR 20三以月 2306669 销售电话捷途汽车河池天助捷途智慧店广西壮族自治区,河...2024.09.0218:04 OPPO Reno6 Pro 5G 交车仪式",捷途汽车(1),https://www.douyin.com/video/7410073443217018163,正面
用户体验,综合类,微头条,信1812115,兄弟们，豪耀5座多少可以落地呢？,瑞虎8 PLUS车友圈 兄弟们，豪耀5座多少可以落地呢？,,瑞虎8(1),http://www.toutiao.com/item/1809099942329353,中性
产品报道,视频类,西瓜视频,落寞爱剪辑,落寞爱剪辑发布的小视频,,"互祺纵享空间现在奇瑞的置换政策名下有旧车的老板们有福了鲁H5E5L7 全系车型都可参与置换至高抵55,000 置换升级礼上置换完也花不了多少钱 TIG 旧车置换至高抵40000 叠加国家补贴15000 赶快点击视频左下角链接联系我吧瑞虎9 活动详情请咨询济宁亚飞奇瑞旗舰店济宁亚飞 CHERY 记得点赞关注哦",瑞虎9(1),http://www.ixigua.com/7410072518750375195/,中性
品牌形象,视频类,抖音,不吃螺蛳粉,无敌#你能答对几题,无敌#你能答对几题,丰田日产迈巴赫 No.2 奔驰凯迪拉克 No.3 LAND> -ROVER 路虎林肯捷豹 No.4 兰博基尼 No.5 保时捷 STUTTGART INFINITI 沃尔沃 No.7 英菲尼迪奇瑞五菱宏光三菱科尔维特 No.8 No.9 法拉利柯尼塞格阿波罗布加迪无敌了! 居然全认识世爵 No.1 测测你认识多少车标,,https://www.douyin.com/video/7410071725309742386,中性
品牌形象,综合类,今日头条,用户1810286260298,#奇瑞汽车 #支持国产 #国产之光,#奇瑞汽车 #支持国产 #国产之光,8高性能品可地T业T 8 购车享0首付低月供金融方案离海地址:昌明大街与胜利路交叉口西行500米可'庆小#州业T 开业钜惠季 CHERY 艾瑞泽8,奇瑞汽车(1),http://www.toutiao.com/item/7410071636319161639,正面
产品报道,视频类,抖音,iCAR东莞总店,#icar 03,#icar 03,活动详情咨询当地经销商现车现车! 内部员工价现车现车! 支持超长低息贷低月供东莞急售一批方盒子特价新车,iCAR 03(1),https://www.douyin.com/video/7410071063079423284,正面
产品报道,综合类,今日头条,儒雅青山hfNn4Hz,这颜色不错吧，自我感觉比黑白好看多了??????,这颜色不错吧，自我感觉比黑白好看多了??????,美车之道洗车专家警工城 0美 za 车美人快乐|美车之道 LLumar.龙膜学汽车工程学院领导莅临指导|抖音抖音号:mczd20190515 商务改装|JETOUR 语葛 X70 奇瑞糖途|,,http://www.toutiao.com/item/7410070617791155466,正面
产品报道,综合类,今日头条,DY月巴月半,"全新蓝山百人交车仪式来喽！??你还在犹豫要不要下手的时候，有些人已经喜提爱车了！全新蓝山上市，24小时大定8,571台，这个数据着实亮眼。而且长城也兑现了上市及交付，郑州和武汉都已经完成了首批订单的交付。8月29号还有个位排群星蓝山的百人交车仪式，据说届时还有个神秘的嘉宾亲临现场。 全新蓝山从4月份","全新蓝山百人交车仪式来喽！??你还在犹豫要不要下手的时候，有些人已经喜提爱车了！全新蓝山上市，24小时大定8,571台，这个数据着实亮眼。而且长城也兑现了上市及交付，郑州和武汉都已经完成了首批订单的交付。",都是车企调整战略方向后的巨大成果咱们呢合理的探讨探讨每个人都有主观的侧重点比亚迪做的电池你觉得呢? 都说到这了也希望蓝山在这个好的起点下但是我认为,,http://www.toutiao.com/item/7410070436475686178,正面
售后服务,视频类,抖音,汽修江湖,宝马525Li天窗打不开或玻璃天窗翘起一半通风而无法关闭，可能需要初始化设置。方法如视，维修手册中也有操作说明。#修车 #汽车知识分享 #每天一个用车知识 #汽车服务 #汽车保养知识,宝马525Li天窗打不开或玻璃天窗翘起一半通风而无法关闭，可能需要初始化设置。方法如视，维修手册中也有操作说明。#修车 #汽车知识分享 #每天一个用车知识 #汽车服务 #汽车保养知识,1 AAY TAY 全部大众册本田奇瑞日产编辑专修系统 EPC查询 VIN码查询保养大全常用资料正时匹配针脚接头归零复位电脑编程技术参数专用工具皮带拆装保险继电拆装位置最近更新电路图爱驰常用阿尔法・罗密欧(专) 阿斯顿・马丁宝马(专) 比亚迪 AITO(专) AITO 阿维塔别克(进口)(专) 别克保时捷标致搜索宝马i3 M5 M5CS i5eDrive35L i5M60xDrive 550i xDrive ALPINA D5s 550i 545i i5xDrive40 540iP 540Li 535Le 535d 530i 530e iPerformance 530e 530d xDrive 530d 528Li xDrive 525d xDrive 528Li 525xi 525td 525td 525Li 5S41/F18/四门车/N20/自动变速箱/中国最新手册 24自动变速箱 26万向轴 34制动器 35踩踏装置 72车身零部件 67电动马达 51车身装备匙 64冷暖空调 63灯 62仪表 5412活动天窗 > RB5400728 RB RB5400852 B A 玻璃天窗从升高极限位置程提示: AOBD 关约30秒钟(初始化设置开始) 位置(B)方向设置: 设置结束。可松开按钮。 折扣一步到位优势介绍: b修宝马7系官方正品永久会员汽修宝典,,https://www.douyin.com/video/7410068243517295912,中性
销售服务,视频类,抖音,宁波家瑞-小刘,#奇瑞全系终身质保 #以旧换新 #0首付 全新一代瑞虎8plus已经到店,#奇瑞全系终身质保 #以旧换新 #0首付 全新一代瑞虎8plus已经到店,全新瑞虎日换车正当时已到店国际奇瑞International Che 国补再加码 TIGGO瑞 1.6T加7DCT双离合 2.0T加浮贞8AT 两套黄金动力组合车机自带8155芯片包大# 2秒极速开机拥有腿托商 2025款新瑞虎BPLUS 舒适与完美的结合复赶紧联系我预约试驾吧燕瑞汽车点击下方链接全新一代瑞虎8plus已到店详情咨询宁波家瑞 CHERY 记得点赞关注哦,瑞虎8(1),https://www.douyin.com/video/7410067969595788607,正面
产品报道,视频类,抖音,不吃原味瓜子,#感受大自然的气息和美景 #桂林 #旅行vlog #桂林山水甲天下,#感受大自然的气息和美景 #桂林 #旅行vlog #桂林山水甲天下,捷途第七届粉丝文化节暨山海L6上市发布 KAYA BARATACR 人平不是轨道人生是护型抗妹新技潮捷途市大胆梦不落空滚烫同行行,山海L6(1),https://www.douyin.com/video/7410067623460834600,正面
产品报道,视频类,抖音,真车价批发,瑞虎8Pro真的太香了#性价比高的国产车推荐 #优惠活动火爆进行中 #购车黄金季 #奇瑞,瑞虎8Pro真的太香了#性价比高的国产车推荐 #优惠活动火爆进行中 #购车黄金季 #奇瑞,"只讨算 b#-2 月供只最近买车的老板看过民奇福超级618年中代步年单付中格合十语来呻时视频朝烈墅首选家用代步车厂家直不用花钱也能把新车提回家年中抄底再加码首付只需888元月供只需1K~2K 一台都是团购价只需两证一卡的外观 10万出头就能有奥迪宝马的操控,奔驰的内饰瑞虎8Pro简直不要太香了",瑞虎8(1),https://www.douyin.com/video/7410067538018716937,正面
产品报道,综合类,今日头条,百百汽车科普,硬派魅力升级：iCAR 03T机能SUV,硬派魅力升级：iCAR 03T机能SUV#iCAR03T人车皆有型#年轻人的车加T上机能#iCAR03T年轻T机能 #为年轻人造车机能扛把子#T人T车iCAR机能风#T人颜值局,,iCAR 03(1),http://www.toutiao.com/item/7410067104470254099,正面
品牌报道,综合类,今日头条,用户1304603973329,用户1304603973329发布的小视频,用户1304603973329发布的小视频,丰田日产 No.2 奔驰迈巴赫凯迪拉克 No.3 No.4 LAND> -ROVER 林肯路虎捷豹 No.5 STUTTGART 兰博基尼保时捷 No.6 讴歌雷克萨斯长安 No.7 沃尔沃英菲尼迪奇瑞 INFINITI No.8 五菱宏光三菱科尔维特 No.9 柯尼塞格法拉利 apollo 帕加尼测测你认识多少车标阿波罗世爵无敌了! No.10 居然全认识,,http://www.toutiao.com/item/7410066776702078219,中性
品牌报道,视频类,抖音,LumosL-,轻轻松松,轻轻松松,丰田日产奔驰 No.2 迈巴赫宾利凯迪拉克 No.3 LAND> -ROVER 林肯路虎捷豹 No.4 雷克萨斯长安讴歌 No.6 INFINITI 奇瑞沃尔沃英菲尼迪 No.7 科尔维特三菱五菱宏光 No.8 apollo 居然全认识世爵阿波罗帕加尼无敌了! No.10 测测你认识多少车标,,https://www.douyin.com/video/7410066509898321179,中性
售后服务,视频类,抖音,易欣汽车划痕修复车漆,超多好物，限时特惠，小时达,超多好物，限时特惠，小时达,ERO FRO 1T 0F 7 b RNINT ERO50 上 PAINT 4.本田 EROSO 第一物影 OT EROSO AEROS EROSO 3 第一7 伊用E 8.奔驰21.五菱 4S店同理调漆如:20款本田雅阁黑色对应数字#下单扣具体车型一对一解答 2.大众15.马自达 1.专车定制14.福特 3.丰田16.比亚迪 AEROSOEROSO 4.本田17.斯柯达 5.日产18.长安使升 6.起亚19.荣威 7.奥迪20.宝骏 9.宝马22.红旗二 VEROS 保示时 11.雪佛兰24.别克 13.哈佛30.东风标致燃油车/新能源/电动车送补土腻子+补漆工具 T 拒绝色差 EROS AEROS bT 专车专调 VEROS EROSO VEROS EROSO AFROS 10.现代23.吉利一汽车漆面划痕修复神器一 12.传祺25.奇瑞,,https://www.douyin.com/video/7410065356313742618,中性
产品对标,综合类,今日头条,轻松肯德尔9k4e,迈巴赫GLS卖200万，问界M9卖60万，那奇瑞T11卖20万？合理不…#问界m9 #奇瑞T11 #迈巴赫gls600 #问界m9车主真实感受,迈巴赫GLS卖200万，问界M9卖60万，那奇瑞T11卖20万？合理不…#问界m9 #奇瑞T11 #迈巴赫gls600 #问界m9车主真实感受,奇瑞T11让所有人开上问界问界M9借鉴奔驰GLS设计元素,,http://www.toutiao.com/item/7410064980374080807,中性
销售服务,综合类,今日头条,顽强天空OM6,富阳奇瑞恭祝王先生喜提瑞虎9 旧车置换至少抵4万#瑞虎9 #巅峰之上旗舰领航 #百亿宠粉上新季 #国家补贴 #0首付,富阳奇瑞恭祝王先生喜提瑞虎9 旧车置换至少抵4万#瑞虎9 #巅峰之上旗舰领航 #百亿宠粉上新季 #国家补贴 #0首付,祝王先生奇开得胜瑞享前程! 活动详情请咨询当地经销商旧车置换至少抵4万恭祝王先生喜提虎9,瑞虎9(2),http://www.toutiao.com/item/7410064132600270120,正面
销售服务,综合类,今日头条,丽水森威夏彩红,#捷途汽车,#捷途汽车,收银区是X70 爆口S b想 78 BO03 b'## 捷途X70PLUS 尽一路捷速 JETOUR aS 水千进去人生大有可为 b ETOUR R定,捷途汽车(1),http://www.toutiao.com/item/7410063967063706899,正面
品牌报道,视频类,抖音,冬か??.,那天我说了违心的话，你却顺了我的意 #李宗伟,那天我说了违心的话，你却顺了我的意 #李宗伟,Ltee V b'###' W 罗群答景 LNNna 战斗 1头 OU 眉召谷尔东点珠菜最拍 -NING 金龙鱼 HW 参茸劲 GUANGZHOU 1 页新闻追奇瑞汽车LINIME LI-NING 2013 古“王 BW rships CFERY NG 奇瑞汽车 H 王老 2013年世界羽毛球锦标群茶图参茸劲酒 LEE 国广州东风雪铁龙 2013年世界羽王老吉永赛 211811 RUMBAKA 142116 P'#,奇瑞汽车(2),https://www.douyin.com/video/7410063582060154122,中性
产品报道,视频类,抖音,巧克力,天启行动 #游戏鉴赏家 #新游鉴赏家 #天启行动 #天启行动公测启动 #游戏风向标,天启行动 #游戏鉴赏家 #新游鉴赏家 #天启行动 #天启行动公测启动 #游戏风向标,"新游鉴赏家 17 排位赛痴心草虾针对性活神格恒星系先锋雷翼我方选择0/5 确认 【输入】与其他星能者开始对话离子护盾雷鸣闪光选择英雄生态河谷 29.58秒 BP b2% 真3 25.61秒阴就阿昊 3 3 Bx +V 80米 3 0 34.34秒 201:13 ￥28 少萝钰 BLC.马枪 201:110 28 +90 146 192 外孕纯砍朵朵关闭面板 41 受击信息 201:090 8 我的数据 00:51 154 马牛羊奇瑞连续击败3人无往不胜全歼对手 44 胜利 +26 虎相思泪 *0 A高台 14米 A厅 501:11 XXSimgn 白菜啊 200 4厅陪他听周杰伦 501:09 李思语本人厂众神过天桥 24 07 数据中心 8后方请协助防守 B42.48秒 50 花神 1毫秒 11 01:07 率先击败连接 A20米 82 OPOP 土豆仔回复弱过我破军致育 3 00:35 00:32 +100 A大路 2 百万年筹谋积蓄无敌 25 A大路你是人机么杨禾 501:015 19 0 48.37秒狂袭爆弹顾北Y A 抖音巧克力取消 46.31秒 15 8+ +68 171798691845364 44.30秒 82% 系统敌方星核掉落在A厅。 高清 A部署点机动 +88 B 5 系统敌方已在A区部署星核, 13 真5 伤害 44.15秒请前往回收。",,https://www.douyin.com/video/7410063420600372514,中性
产品报道,视频类,抖音,保定林瑞小李,探索06#每天推荐好车 #购车黄金季 #性价比超高 #你值得拥有,探索06#每天推荐好车 #购车黄金季 #性价比超高 #你值得拥有,fhe before you Please remove 请您在使用产 b'# CHERY,探索06(1),https://www.douyin.com/video/7410063361834077481,正面
品牌报道,视频类,抖音,幽兰,当一天和尚撞一天钟，做一天牛马发一天疯，#最近很火的一首歌 #我也来凑个热闹,当一天和尚撞一天钟，做一天牛马发一天疯，#最近很火的一首歌 #我也来凑个热闹,不如当一天 4 专痛宁做一天牛年新商堂我时源定你真做一天牛马我就发一天疯生活不是卡岁平安福奇双全新时造宝满堂富查风年英奇瑞宝你说公主请打新利团文空宣脑袋持续放空听春祝福: 我有你花开富安罗岁平安福奇全新射造宝满交富贵我组有你花开富风制水到想事成三重利达父母美庭鼠年福寿宁奶婚: 心事成富贵利达帆流制水到成先做一个暴富的梦中福平安万事如意,,https://www.douyin.com/video/7410063061844888866,正面
产品报道,视频类,抖音,唯娜轩小玉,菏泽地推非常奈斯#一群女汉子在一个陌生的城市里把不可能变为可能，团结一心，同心协力，我们定能够战胜一切困难#唯有经历方能懂得 #记录我们那一刻 #,菏泽地推非常奈斯#一群女汉子在一个陌生的城市里把不可能变为可能，团结一心，同心协力，我们定能够战胜一切困难#唯有经历方能懂得 #记录我们那一刻 #,"浅笑安然本月消费最近到店共1笔 2024-09-0121:47:43 A*0 支持信用卡/花呗商家服务可升级至200万收款保领取你的官方收钱码海洋王桂玉(**玉) 你敢收我敢赔免费领陈倩影收入> 账单分类收钱码收款 2024-09-0214:20:35 商品说明标签和备注添加> 计入收支 **强往来流水证明申请电子回单对此订单有疑问立即领取10商家积分联系顾客平安幸福伊人浅笑 A鱼煲煲(鼓楼广场店184・・. 唯娜轩小玉(招商0加盟)(**玉) 查看该顾客到店次数 09月02日21:18 18 21:18 情永恒 A唯娜轩@娜@18366631025(**娜) A@秀@(*秀) 一棵树 ￥100.00 当前状态 6529 填写该笔收款的备忘交易记录交易记录 1000049901202409020139341413 已收钱近90天交易记录去了解 2024-09-0219:47:08 糖*3 用经营码收款,可发起退款。 今天收款时间 ￥99.00 2024年09月02日18:01:01 零钱余额处理订单保存收款码 A长安奇瑞新能源二维码收款收款总计更多设置设置金额 ￥1.00 个人收款码",,https://www.douyin.com/video/7410062946400816399,中性
品牌报道,视频类,抖音,??大齐体育???,翘臀R7上路了#奇瑞汽车#鸿蒙智行,翘臀R7上路了#奇瑞汽车#鸿蒙智行,|ZL-027,奇瑞汽车(1),https://www.douyin.com/video/7410062769938009371,正面
用户体验,社交类,新浪微博,ShowerGel_,老师修的好好###家妻甚美[鲜花],,奇瑞品牌全球代言人杨齿奇瑞品牌全球代言人杨紫#########################,,http://weibo.com/7302546341/OvaKL0znP?refer_flag=1001030103_,正面
销量业绩,综合类,微头条,爱聊体娱,"8月的国产车销量榜单来啦！快来看看你的爱车上榜了没？ 比亚迪，那个新能源界的超级巨星，8月销量直接飙到373,083辆！这个数字简直让人眼花缭乱，比亚迪的车主们，你们是不是也跟小红书一样，感到无比自豪呢？ 奇瑞汽车，那个从小巷子里走出来的国货骄傲，8月销量也有211,879辆！ 奇瑞的朋友们，你","8月的国产车销量榜单来啦！快来看看你的爱车上榜了没？比亚迪，那个新能源界的超级巨星，8月销量直接飙到373,083辆！这个数字简直让人眼花缭乱，比亚迪的车主们，你们是不是也跟小红书一样，感到无比自豪呢？",,奇瑞汽车(1),http://www.toutiao.com/item/1809097353283658,正面
产品报道,视频类,抖音,Wzzz',#每天推荐好车 瑞虎8plus 没人喜欢么？？？？,#每天推荐好车 瑞虎8plus 没人喜欢么？？？？,b'#' 请诚为 725000 器忠檎元汽车一站式服务中心 SONY 钣年,瑞虎8(1),https://www.douyin.com/note/7410062510050544950,中性
用户体验,社交类,新浪微博,舞动人生-新,这扎堆啊####数码大V们劝极越老板改发布时间#9月10日可真是个热闹的日子啊，苹果和华为的发布会都在这一天举行呢，没想到极越CEO夏一平也宣布极越07要在这一天上市发布。这一下可就有得瞧了，三大巨头同一天竞技。不过啊，这极越07可就面临一个大挑战了，很容易被那两位大佬的热度给掩盖掉。我就在想啊，这发布时间是不是得重新斟酌一下呢？但换个角度看，也许这也是极越的一个机遇呢，如果极越07真的有足够的实力和亮点，说不定能在这场激烈的竞争中脱颖而出。就像一匹黑马，在大家都关注苹果和华为的时候，突然惊艳众人。咱们就拭目以待，看看极越07到底会有怎样的表现，能不能在这艰难的发布时间点闯出自己的一片天。,,9月10号教师节媒体老师们可太忙了9.10苹果iPhone16上市9.10极越07上市9.10上汽大众帕萨特Pr0上市9.10捷达VS7千里江山版上市9.10宝骏云海上市9.10全新奇瑞瑞虎8Plus上市9.10AITO问界M9五座版上市@科技小胖,瑞虎8(1),http://weibo.com/7557960253/OvaJXEwNW?refer_flag=1001030103_,中性
品牌报道,综合类,今日头条,用户4099474531244,你的旧车开过来做置换吧#捷途汽车 #捷途东部,你的旧车开过来做置换吧#捷途汽车 #捷途东部,"家农好建途置换抵4.5万我就免费给你3万做首付才油选见于水天奖捷途如果你的旧车是2011年6月份之前的 18 尽一路捷途补贴国家 38 理房汽车千山 150 #X7ORI 这样旧车开过来置换直接抵捷途X70plus购车款45,000 小诺一捷途金秋焕新豪华沉稳的前脸加上真皮内饰带540倒车影像的双连屏我再给你叠加补贴15,000 活动详情咨询当地经销商旧车置换抵30000起 11年6月份的旧车叠加抵1.5万点击下方链接找我了解一下吧",捷途汽车(1),http://www.toutiao.com/item/7410061296126790963,正面
销售服务,综合类,今日头条,认真的花猫s,#交车仪式只是您享受服务的开始 #捷途汽车 #购车黄金季,#交车仪式只是您享受服务的开始 #捷途汽车 #购车黄金季,捷途捷国X70PLUS 详情请咨询嘉兴众天经销商包牌√包税包保险首付8888月供2000+,捷途汽车(1),http://www.toutiao.com/item/7410061073191161124,正面
销售服务,综合类,今日头条,认真的花猫s,#交车仪式只是您享受服务的开始 #捷途汽车 #购车黄金季,#交车仪式只是您享受服务的开始 #捷途汽车 #购车黄金季,详情请咨询嘉兴众天经销商旧车不限品牌车况里程旧车置换捷途可抵三万,捷途汽车(1),http://www.toutiao.com/item/7410060835718024489,正面
品牌报道,视频类,抖音,和田创捷汽车,#捷途汽车#旧车开过来新车开回家 #0首付,#捷途汽车#旧车开过来新车开回家 #0首付,JETOUR 00 Lus 捷途速度度 316 2024年1-8月和田捷途店置换大七座SUV 4平月员超2023全年 124年1-3月1 3160 31600 31600 活动详情请咨询当地经销商就你旧车没置换赶紧联系我置换吧旧车不限品牌不限年限不限车况旧车开过来新车开回家,捷途汽车(1),https://www.douyin.com/video/7410060392304594227,中性
品牌报道,视频类,抖音,浪漫人生路。,,,丰田日产凯迪拉克 No.3 LAND> -ROVER 林肯路虎捷豹 No.4 STUTTGART 兰博基尼保时捷 No.5 雷克萨斯 No.6 讴歌长安 INFINITI 英菲尼迪 No.7 奇瑞沃尔沃五菱宏光三菱科尔维特 No.8 No.9 吉利柯尼塞格 apollo 居然全认识布加迪阿波罗世爵无敌了! No.10 测测你认识多少车标,,https://www.douyin.com/video/7410060241951264012,中性
品牌报道,视频类,抖音,晓强同学,太帅啦，铁铁们！#捷途汽车,太帅啦，铁铁们！#捷途汽车,山海T2,捷途汽车(1),https://www.douyin.com/note/7410060050955242787,正面
产品报道,视频类,快手,吃夜宵,2024款24星途瑶光CMD车衣车罩专用汽车外罩车套防晒防雨加厚隔热 #汽车农机后市场 #汽车装饰 #车衣,,防刮耐磨・使用更长久内衬部分我们采用较好的新疆长绒棉材质,星途瑶光(1),https://www.kuaishou.com/short-video/3x8keyfvzg3yd74,正面
